"""FabLab""
AC:84:C6:3E:EF:51","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""linksys""
00:25:9C:98:4B:7D","""Lab ERNC""
00:90:4C:91:00:03","""AP_1612927617""
BC:54:F9:FC:7F:60","""Vibraciones""
50:C7:BF:DD:C3:B3","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""Lab 212""
00:23:CD:18:65:9C","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Die231""
EC:08:6B:42:B5:4A","""eduroam""
84:D4:7E:29:3E:82","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1"
-77,-70,-77,-71,-70,-70,-79,-70,-75,-60,-73,-69,-77,-89,-74,-79,-79,-76,-74
-77,-70,-77,-71,-71,-70,-79,-70,-74,-59,-74,-71,-77,-89,-74,-79,-79,-76,-72
-77,-71,-77,-71,-71,-70,-79,-70,-74,-58,-73,-71,-77,-89,-74,-79,-79,-77,-72
-77,-71,-77,-72,-71,-70,-79,-73,-74,-58,-73,-71,-77,-89,-74,-79,-79,-79,-72
-77,-71,-77,-72,-71,-71,-79,-72,-74,-58,-75,-71,-77,-89,-74,-79,-79,-78,-73
-77,-71,-77,-72,-71,-71,-79,-72,-75,-58,-74,-71,-77,-89,-74,-79,-79,-78,-73
-77,-71,-77,-72,-71,-71,-79,-74,-75,-58,-74,-71,-77,-89,-74,-79,-79,-77,-73
-77,-71,-77,-73,-71,-71,-79,-75,-74,-57,-74,-71,-77,-89,-73,-79,-79,-77,-72
-76,-71,-77,-74,-71,-71,-79,-75,-74,-58,-73,-71,-77,-89,-73,-79,-79,-77,-73
-77,-71,-77,-74,-71,-70,-79,-74,-75,-57,-73,-71,-77,-89,-73,-79,-79,-76,-74
-77,-71,-77,-74,-71,-71,-79,-74,-75,-57,-74,-71,-77,-89,-73,-79,-79,-76,-76
-77,-71,-77,-73,-71,-70,-79,-75,-74,-57,-74,-71,-77,-89,-73,-79,-79,-77,-73
-77,-71,-77,-73,-71,-72,-79,-75,-74,-57,-73,-71,-77,-89,-73,-79,-79,-76,-73
-77,-71,-77,-73,-71,-70,-79,-75,-74,-57,-74,-71,-77,-89,-73,-79,-79,-76,-72
-77,-71,-78,-73,-71,-70,-79,-76,-73,-58,-75,-71,-77,-73,-79,-79,-76,-72,-89
-77,-71,-78,-73,-71,-70,-79,-75,-73,-56,-74,-71,-77,-73,-79,-79,-76,-72,-89
-77,-71,-78,-73,-71,-70,-79,-75,-73,-56,-74,-71,-77,-73,-79,-79,-76,-72,-91
-77,-71,-78,-73,-71,-70,-79,-75,-74,-56,-74,-71,-77,-73,-79,-79,-77,-71,-91
-77,-71,-78,-73,-71,-70,-79,-75,-75,-57,-74,-71,-77,-73,-79,-79,-76,-72,-92
-76,-71,-77,-73,-71,-70,-79,-75,-75,-56,-79,-71,-77,-73,-79,-79,-76,-70,-93
-76,-71,-77,-73,-71,-70,-79,-76,-76,-57,-76,-71,-77,-73,-79,-79,-77,-70,-92
-76,-71,-77,-73,-71,-70,-79,-75,-73,-56,-74,-71,-77,-73,-79,-79,-77,-72,-91
-77,-71,-77,-73,-71,-70,-79,-75,-74,-56,-75,-71,-77,-73,-79,-79,-76,-72,-93
-77,-71,-78,-73,-71,-70,-79,-74,-74,-56,-75,-71,-77,-74,-79,-79,-79,-72,-93
-77,-71,-78,-73,-71,-70,-79,-74,-75,-56,-75,-71,-79,-74,-79,-79,-78,-72,-93
-77,-71,-78,-74,-71,-69,-79,-74,-75,-56,-75,-71,-78,-74,-79,-79,-78,-73,-93
-76,-71,-78,-75,-71,-69,-79,-73,-74,-56,-75,-71,-78,-74,-81,-79,-78,-73,-93
-76,-71,-78,-75,-71,-70,-79,-74,-74,-59,-75,-71,-78,-73,-81,-79,-77,-72,-93
-77,-71,-78,-74,-71,-70,-79,-75,-75,-58,-75,-71,-78,-73,-81,-79,-76,-72,-92
-77,-71,-78,-74,-71,-70,-79,-75,-75,-57,-75,-71,-78,-73,-81,-79,-76,-72,-93
-77,-71,-78,-73,-71,-70,-79,-75,-74,-56,-75,-71,-78,-73,-81,-79,-76,-72,-93
-77,-72,-78,-73,-71,-70,-79,-75,-74,-57,-75,-71,-78,-73,-81,-82,-76,-73,-95
-77,-72,-78,-74,-71,-70,-79,-75,-74,-56,-75,-73,-78,-73,-81,-82,-77,-73,-94
-77,-72,-78,-74,-71,-70,-79,-75,-74,-57,-75,-73,-76,-73,-81,-81,-77,-74,-94
-76,-72,-78,-74,-71,-70,-79,-75,-74,-57,-74,-73,-76,-73,-81,-81,-77,-73,-91
-77,-72,-78,-73,-71,-70,-79,-75,-74,-57,-74,-73,-77,-73,-81,-80,-77,-72,-91
-77,-72,-78,-73,-71,-70,-79,-75,-74,-56,-74,-72,-77,-73,-81,-80,-77,-72,-90
-77,-72,-78,-73,-71,-70,-79,-73,-73,-56,-74,-72,-77,-76,-81,-80,-77,-72,-90
